Year,Plot,N,Height,Cover,CNratio,PCA,ST,Rorder,ANPP,Block
2014,N0-1,0,13.1305463,3.367333333,36.25308,-1.50652,12.5,0.162201013,331.8,1
2014,N0-2,0,13.57312648,1.301052632,36.33134,-0.40496,11,0.193713684,165.0884,2
2014,N0-3,0,16.35844746,2.114761905,33.52032,-0.11485,11.75,0.169343764,265.2,3
2014,N0-4,0,18.21105509,2.6395,33.66118,0.0328,11,0.216515243,300.52,4
2014,N0-5,0,17.92675761,1.672083333,34.20488,0.42712,9.75,0.250750568,309.76,5
2014,N2-1,2,10.02868679,1.1728,29.46814,-0.93907,14.4,0.112558242,221.96,1
2014,N2-2,2,13.35917121,1.916666667,32.08234,-0.63909,14.4,0.184144035,273.52,2
2014,N2-3,2,12.46839988,1.230769231,33.34958,-0.53431,13.6,0.195844995,333.4,3
2014,N2-4,2,14.85928864,1.3216,34.94078,-0.09554,13,0.197946263,271.88,4
2014,N2-5,2,11.79762354,1.7705,32.48858,-0.92171,13.8,0.169588943,367.64,5
2014,N4-1,4,13.17067512,1.844761905,29.4522,-0.57571,13.2,0.449821922,292.36,1
2014,N4-2,4,15.36135535,1.088148148,30.03768,0.25852,14,0.201155614,296.24,2
2014,N4-3,4,14.88734024,1.434347826,32.3958,-0.07679,12.8,0.207312727,384.4,3
2014,N4-4,4,14.09407869,1.51,32.89688,-0.30119,11.8,0.164959228,285.56,4
2014,N4-5,4,18.6955017,1.554210526,25.31224,0.88929,10,0.253311083,411.04,5
2014,N8-1,8,21.74194641,1.3276,31.94392,1.49299,11.4,0.259322676,298.2,1
2014,N8-2,8,17.00660725,2.488235294,26.48816,0.03216,13.2,0.351897841,410.12,2
2014,N8-3,8,17.3168456,1.690384615,33.546,0.3017,13,0.262877725,459.24,3
2014,N8-4,8,14.28126158,1.5712,35.22646,-0.35167,13.4,0.173432827,528.8,4
2014,N8-5,8,14.97074738,1.136,28.31606,0.19507,12.8,0.23985141,513,5
2014,N16-1,16,13.11050083,2.370666667,24.36106,-0.71004,11,0.195274737,499.52,1
2014,N16-2,16,12.72448937,2.453571429,22.29614,-0.78044,10.4,0.157720483,435.48,2
2014,N16-3,16,17.21222711,1.286,14.23178,0.988,14.8,0.22740723,436.72,3
2014,N16-4,16,22.5007265,1.56875,26.59894,1.68399,9.4,0.377419584,451.48,4
2014,N16-5,16,19.53023154,1.306666667,20.69124,1.3158,10.4,0.254309029,265.52,5
2014,N32-1,32,18.53354497,2.04,22.48014,0.69222,9,0.298996026,631.92,1
2014,N32-2,32,16.44344152,1.332105263,22.55594,0.57586,10.4,0.23659696,458.64,2
2014,N32-3,32,21.62634259,1.743333333,16.99844,1.66153,11.6,0.274471792,356.92,3
2014,N32-4,32,19.46012174,2.788823529,15.89164,0.7058,13.2,0.291413941,335.48,4
2014,N32-5,32,23.63057122,1.755454545,17.5331,2.08173,8.8,0.345093431,598.16,5
2015,N0-1,0,23.1150662,1.685555556,30.76,1.65168,16,0.240732613,398.246,1
2015,N0-2,0,14.67417591,1.095652174,30.76,0.08474,14.25,0.182066282,280.8216,2
2015,N0-3,0,16.33399471,1.085,30.76,0.45455,12.5,0.172470764,407.1696,3
2015,N0-4,0,18.31394878,1.34,30.76,0.7653,15.25,0.208704245,382.4016,4
2015,N0-5,0,17.51280156,1.645789474,30.76,0.44037,12,0.216882261,363.0772,5
2015,N2-1,2,12.85217536,1.164,25.89,-0.21962,13.6,0.168377424,289.2216,1
2015,N2-2,2,18.38666847,1.0865,25.89,1.03392,12.8,0.210344638,408.3188,2
2015,N2-3,2,15.48819022,1.216956522,25.89,0.33366,14.4,0.184601658,357.7744,3
2015,N2-4,2,21.18745826,1.065238095,25.89,1.65955,10.4,0.217131835,421.918,4
2015,N2-5,2,16.34495189,1.0412,25.89,0.60747,19.2,0.175443298,265.136,5
2015,N4-1,4,15.42620735,1.275909091,25.6,0.29902,14.6,0.202497605,309.2524,1
2015,N4-2,4,15.34037426,0.98125,25.6,0.42368,13,0.181256035,462.8104,2
2015,N4-3,4,19.26355773,1.152,25.6,1.20235,15.2,0.204918833,424.3924,3
2015,N4-4,4,15.93167689,1.134583333,25.6,0.47889,12.6,0.187991432,529.648,4
2015,N4-5,4,17.27675762,1.466,25.6,0.61296,14.4,0.193344453,530.1052,5
2015,N8-1,8,23.91443106,1.9925,21.6,1.92075,12.8,0.243319275,555.8156,1
2015,N8-2,8,23.15346099,1.050434783,21.6,2.21243,16.6,0.304063652,303.3072,2
2015,N8-3,8,21.15109854,1.45173913,21.6,1.5771,14,0.28339348,431.4836,3
2015,N8-4,8,22.04026098,1.4332,21.6,1.78146,14.8,0.267562479,463.786,4
2015,N8-5,8,24.56357747,1.560909091,21.6,2.27357,11.6,0.270536667,460.4492,5
2015,N16-1,16,21.24620536,1.49125,19.28,1.64029,15.8,0.297102887,503.2672,1
2015,N16-2,16,26.34218559,1.542,19.28,2.73504,13.4,0.274767841,523.8796,2
2015,N16-3,16,23.71857957,1.57,19.28,2.14505,15.6,0.305714716,519.9884,3
2015,N16-4,16,19.44297288,1.276111111,19.28,1.34895,14.6,0.231197042,614.5852,4
2015,N16-5,16,24.47375199,1.632380952,19.28,2.28056,14.8,0.264604366,490.0828,5
2015,N32-1,32,20.12646259,1.875714286,16.13,1.2906,14,0.27718351,401.3752,1
2015,N32-2,32,19.95903037,2.375714286,16.13,1.01029,11.6,0.211644903,520.2284,2
2015,N32-3,32,18.96097121,1.412380952,16.13,1.26025,16.4,0.242839791,565.6604,3
2015,N32-4,32,24.5205698,1.828888889,16.13,2.27869,16.6,0.258685159,558.768,4
