plot,trt,trt2,spp,anpp
N0-1,N0,N0,Anemone?rivularis,14.6
N0-1,N0,N0,Elymus?nutans,2.1692
N0-1,N0,N0,Potentilla?anserina,7.72
N0-1,N0,N0,Deschampsia?caespitosa,11.4
N0-1,N0,N0,Oxytropis?kansuensis,9.44
N0-1,N0,N0,Ranunculus?japonicus,0.2116
N0-1,N0,N0,Aster?alpinus,0.5092
N0-1,N0,N0,Carum?carvi,4.6
N0-1,N0,N0,Gentiana sino-ornata,131.76
N0-1,N0,N0,Ligularia?virgaurea,25.88
N0-1,N0,N0,Artemisia?roxburghiana,7.4
N0-1,N0,N0,Leontopodium leontopodioides,0.0272
N0-1,N0,N0,Commelina diffusa,0.2408
N0-1,N0,N0,Taraxacum?mongolicum,8.68
N0-1,N0,N0,Euphorbia?esula?,33.32
N0-1,N0,N0,Koeleria cristata,5.56
N0-1,N0,N0,Carex?limosa,5.4
N0-1,N0,N0,Cremanthodium?lineare,32.88
N0-1,N0,N0,Vicia?sepium,1.8472
N0-1,N0,N0,Saussurea?stella,0.2524
N0-1,N0,N0,Poa?pratensis,0.8664
N0-1,N0,N0,Cerastium?arvense,0.0332
N0-1,N0,N0,Trollius?chinensis,0.1772
N0-2,N0,N0,Anemone?rivularis,38.76
N0-2,N0,N0,Deschampsia?caespitosa,20.6
N0-2,N0,N0,Oxytropis?kansuensis,3.52
N0-2,N0,N0,Aster?alpinus,47.4
N0-2,N0,N0,Carum?carvi,0.4444
N0-2,N0,N0,Commelina diffusa,1.8068
N0-2,N0,N0,Artemisia?frigida,18.48
N0-2,N0,N0,Halenia?elliptica,0.3592
N0-2,N0,N0,Pedicularis?spicata,5.8
N0-2,N0,N0,Potentilla?fragarioides,6.88
N0-2,N0,N0,Taraxacum?mongolicum,1.48
N0-2,N0,N0,Lancea?tibetica,3.074
N0-2,N0,N0,Euphorbia?esula?,17.8
N0-2,N0,N0,Kobresia?myosuroides,8.8
N0-2,N0,N0,Koeleria cristata,0.7716
N0-2,N0,N0,Carex?limosa,4.8
N0-2,N0,N0,Cremanthodium?lineare,32.96
N0-2,N0,N0,Vicia?sepium,5.32
N0-2,N0,N0,Euphrasia?pectinata,0.7312
N0-2,N0,N0,Polygonum?viviparum,113.48
N0-2,N0,N0,Anaphalis?lactea,1.2244
N0-3,N0,N0,Anemone?rivularis,9.32
N0-3,N0,N0,Elymus?nutans,7.24
N0-3,N0,N0,Potentilla?anserina,14.8
N0-3,N0,N0,Deschampsia?caespitosa,40.48
N0-3,N0,N0,Oxytropis?kansuensis,1.44
N0-3,N0,N0,Carum?carvi,10.76
N0-3,N0,N0,Ligularia?virgaurea,9.6
N0-3,N0,N0,Artemisia?roxburghiana,2.08
N0-3,N0,N0,Geranium pratense,0.0656
N0-3,N0,N0,Pedicularis?spicata,6.68
N0-3,N0,N0,Potentilla?fragarioides,11.96
N0-3,N0,N0,Taraxacum?mongolicum,0.15
N0-3,N0,N0,Euphorbia?esula?,105
N0-3,N0,N0,Kobresia?myosuroides,36.52
N0-3,N0,N0,Koeleria cristata,12.56
